respondent,preference,Gender,Age,MaritalStatus,Children,FirstPurchase,AgeCat,ChildCat,IncomeCat
1,1,2,44,3,0,2,5,0,6
2,3,1,24,2,1,1,1,1,3
3,2,2,34,3,1,2,3,1,1
4,3,1,44,3,0,2,5,0,3
5,1,2,41,1,2,1,5,2,4
6,1,2,26,1,1,1,2,1,4
7,1,1,33,3,0,2,3,0,6
8,3,1,48,3,0,2,6,0,4
9,1,2,32,1,3,2,3,2,1
10,1,2,34,3,0,2,3,0,4
11,3,1,55,2,0,2,6,0,2
12,1,2,43,3,0,2,5,0,6
13,1,1,42,1,0,2,5,0,2
14,1,1,20,1,0,2,1,0,5
15,2,1,36,1,1,2,4,1,2
16,2,1,45,1,0,2,6,0,6
17,1,2,27,1,1,2,2,1,3
18,3,2,33,1,0,2,3,0,2
19,3,2,35,1,0,2,4,0,4
20,3,2,20,1,0,2,1,0,5
21,2,1,42,1,1,2,5,1,4
22,1,2,41,1,2,2,5,2,5
23,1,2,54,1,0,2,6,0,5
24,1,2,30,1,2,2,3,2,2
25,2,2,48,3,0,2,6,0,2
26,1,1,56,3,0,2,6,0,1
27,1,2,42,3,0,2,5,0,4
28,1,2,41,2,2,2,5,2,3
29,1,2,32,3,1,1,3,1,6
30,1,1,43,1,3,2,5,2,5
31,1,2,41,1,1,2,5,1,2
32,1,1,47,3,0,2,6,0,6
33,3,1,37,3,0,2,4,0,6
34,2,1,32,3,0,2,3,0,2
35,2,2,30,1,0,2,3,0,2
36,3,2,25,1,0,1,2,0,1
37,2,2,54,3,3,2,6,2,6
38,2,1,32,3,2,2,3,2,3
39,3,2,26,1,0,2,2,0,4
40,2,1,26,1,0,2,2,0,5
41,1,1,42,3,0,2,5,0,5
42,1,1,27,3,3,2,2,2,5
43,2,1,26,1,0,2,2,0,4
44,1,1,24,2,1,2,1,1,3
45,1,2,48,3,0,2,6,0,4
46,1,2,43,3,2,2,5,2,2
47,1,1,23,1,0,2,1,0,3
48,3,1,42,1,1,2,5,1,3
49,2,2,40,1,1,2,5,1,5
50,1,2,32,3,0,2,3,0,6
51,3,1,25,2,0,2,2,0,5
52,1,2,41,3,1,2,5,1,2
53,1,1,44,2,0,2,5,0,1
54,2,1,31,1,0,2,3,0,4
55,1,1,47,1,0,2,6,0,5
56,1,1,27,1,1,2,2,1,2
57,3,1,34,1,0,2,3,0,4
58,2,2,40,2,0,2,5,0,3
59,2,1,44,2,0,2,5,0,3
60,1,2,23,1,0,2,1,0,5
61,3,1,30,1,4,2,3,2,5
62,2,1,35,2,0,2,4,0,4
63,3,1,41,3,0,2,5,0,4
64,1,1,48,3,0,2,6,0,6
65,1,1,41,1,1,2,5,1,5
66,2,1,40,3,3,2,5,2,3
67,3,2,40,1,3,1,5,2,3
68,3,1,47,3,0,2,6,0,4
69,1,1,30,1,1,2,3,1,5
70,1,2,33,1,2,2,3,2,3
71,1,2,24,1,0,2,1,0,1
72,2,1,39,3,3,1,4,2,3
73,1,2,42,3,1,2,5,1,6
74,1,2,41,1,0,2,5,0,3
75,1,2,32,1,1,2,3,1,5
76,1,1,26,3,1,2,2,1,5
77,1,1,50,3,2,2,6,2,6
78,1,1,35,1,2,2,4,2,5
79,1,2,20,1,2,2,1,2,6
80,1,2,34,1,1,1,3,1,1
81,1,2,44,1,1,2,5,1,2
82,2,2,34,3,0,2,3,0,3
83,1,2,36,1,0,2,4,0,5
84,3,1,33,1,2,2,3,2,5
85,1,2,55,3,0,2,6,0,2
86,1,1,46,1,0,2,6,0,6
87,3,2,32,1,0,1,3,0,5
88,1,1,30,1,3,2,3,2,6
89,2,1,28,3,1,2,2,1,3
90,3,1,31,2,0,2,3,0,2
91,1,2,32,1,3,1,3,2,4
92,1,2,29,1,1,1,2,1,2
93,2,2,40,1,2,2,5,2,4
94,3,1,33,3,0,2,3,0,2
95,2,2,57,1,3,2,6,2,4
96,3,1,26,3,0,1,2,0,5
97,3,2,27,3,0,1,2,0,6
98,2,2,46,1,3,2,6,2,2
99,3,2,38,3,2,2,4,2,3
100,1,1,44,1,2,2,5,2,6
101,2,2,40,1,0,1,5,0,3
102,1,2,27,1,0,2,2,0,5
103,2,2,41,1,0,2,5,0,1
104,1,2,37,3,0,2,4,0,3
105,2,2,34,1,2,2,3,2,6
106,1,2,28,3,0,2,2,0,1
107,1,1,44,3,0,2,5,0,4
108,1,2,46,1,4,2,6,2,3
109,3,1,30,3,0,2,3,0,2
110,1,2,29,2,2,2,2,2,3
111,1,2,37,3,0,2,4,0,3
112,3,2,44,3,1,2,5,1,4
113,1,1,41,3,4,2,5,2,5
114,3,1,41,3,0,2,5,0,4
115,3,1,51,2,1,2,6,1,2
116,2,1,26,3,0,2,2,0,1
117,2,2,28,1,0,2,2,0,3
118,2,1,58,1,0,2,6,0,5
119,2,2,35,1,0,1,4,0,2
120,3,2,28,3,2,2,2,2,5
121,2,2,44,1,0,2,5,0,2
122,2,1,45,3,1,2,6,1,4
123,1,1,51,1,0,2,6,0,5
124,1,1,27,3,2,2,2,2,5
125,1,1,21,3,0,1,1,0,1
126,3,1,23,3,0,1,1,0,1
127,3,2,31,3,0,2,3,0,2
128,2,2,38,3,1,2,4,1,5
129,1,2,34,3,2,2,3,2,6
130,2,1,43,3,0,2,5,0,2
131,2,2,31,1,2,2,3,2,5
132,3,2,37,1,2,2,4,2,4
133,3,2,42,2,0,1,5,0,5
134,3,1,27,1,0,2,2,0,1
135,1,2,40,1,1,1,5,1,6
136,1,2,29,1,0,2,2,0,6
137,3,2,22,3,0,1,1,0,1
138,3,2,25,1,0,2,2,0,3
139,2,2,47,3,3,2,6,2,3
140,2,1,43,1,0,2,5,0,3
141,2,2,39,1,3,2,4,2,4
142,2,1,27,3,0,2,2,0,2
143,2,2,55,3,0,2,6,0,4
144,2,1,39,1,0,2,4,0,6
145,3,2,40,1,2,2,5,2,3
146,1,1,42,3,0,1,5,0,3
147,3,2,39,1,0,2,4,0,6
148,2,1,48,3,2,2,6,2,2
149,3,1,39,3,2,2,4,2,4
150,3,1,26,1,0,2,2,0,3
151,2,2,37,3,1,2,4,1,4
152,3,1,31,3,0,1,3,0,3
153,3,1,42,1,3,2,5,2,5
154,2,1,31,1,2,2,3,2,5
155,3,1,24,1,0,1,1,0,2
156,1,1,35,1,1,1,4,1,1
157,1,1,29,1,1,2,2,1,4
158,2,1,48,3,0,2,6,0,6
159,2,2,51,3,0,2,6,0,3
160,1,1,43,1,0,2,5,0,2
161,2,1,37,1,0,2,4,0,4
162,1,1,40,3,2,1,5,2,3
163,3,1,30,3,1,2,3,1,1
164,2,1,27,3,1,2,2,1,4
165,1,2,26,1,0,2,2,0,1
166,3,1,48,1,1,2,6,1,3
167,1,2,37,1,0,2,4,0,3
168,1,2,44,3,0,2,5,0,3
169,1,1,30,2,0,2,3,0,4
170,1,2,40,2,0,2,5,0,4
171,3,1,20,3,0,2,1,0,1
172,1,2,51,1,0,2,6,0,4
173,1,2,32,1,1,2,3,1,3
174,1,1,40,1,0,2,5,0,4
175,2,2,26,3,0,2,2,0,2
176,1,1,29,3,0,2,2,0,4
177,1,2,34,1,1,2,3,1,5
178,3,1,28,1,2,2,2,2,5
179,1,1,55,2,3,2,6,2,2
180,2,1,30,1,0,2,3,0,5
181,3,1,42,3,0,2,5,0,2
182,3,2,21,3,0,1,1,0,1
183,1,1,45,1,0,2,6,0,6
184,3,1,20,2,0,2,1,0,6
185,1,1,44,1,0,2,5,0,6
186,1,1,38,1,1,2,4,1,6
187,1,1,26,3,0,2,2,0,2
188,1,2,33,1,0,2,3,0,2
189,1,2,30,2,1,2,3,1,5
190,2,1,40,3,0,2,5,0,5
191,2,2,49,1,1,2,6,1,3
192,1,1,32,1,2,2,3,2,3
193,3,1,31,1,0,1,3,0,3
194,1,2,40,1,1,2,5,1,5
195,2,2,20,1,2,2,1,2,4
196,2,2,50,3,0,2,6,0,3
197,2,2,22,3,0,2,1,0,3
198,1,1,29,2,1,2,2,1,5
199,2,1,35,3,0,2,4,0,1
200,1,2,26,1,1,2,2,1,5
201,2,1,36,3,0,2,4,0,5
202,1,1,41,2,0,2,5,0,5
203,2,1,30,1,1,1,3,1,4
204,1,2,28,1,0,2,2,0,5
205,2,1,49,3,0,2,6,0,5
206,1,1,32,2,0,2,3,0,4
207,1,1,52,1,1,2,6,1,2
208,2,2,43,2,0,1,5,0,2
209,1,2,43,3,3,2,5,2,2
210,1,1,43,1,0,2,5,0,4
211,3,1,24,3,2,1,1,2,3
212,2,2,28,3,0,2,2,0,2
213,3,1,35,3,3,2,4,2,2
214,2,1,58,1,0,2,6,0,6
215,1,2,39,2,0,1,4,0,4
216,2,2,29,1,1,1,2,1,3
217,1,2,48,1,1,2,6,1,6
218,1,2,43,1,0,2,5,0,4
219,3,2,29,1,0,1,2,0,6
220,1,2,49,3,3,2,6,2,5
221,2,2,43,2,3,2,5,2,4
222,3,2,39,1,1,2,4,1,6
223,2,1,49,1,0,2,6,0,5
224,3,2,23,3,0,1,1,0,6
225,1,1,39,1,0,2,4,0,5
226,3,1,47,2,0,2,6,0,4
227,3,1,41,3,0,2,5,0,5
